language,sentence_id,word_id,word,FFDAvg,FFDStd,TRTAvg,TRTStd
en,ZuCo1-1,0.0,With,7.413838006771421,2.9194508219897632,8.249414011632954,3.0912236992947437
en,ZuCo1-1,1.0,his,6.781838701276152,3.2378808170367344,11.959371473218162,9.234371644007052
en,ZuCo1-1,2.0,interest,6.980857713343172,2.166715024982937,9.479989582429033,4.911089551635077
en,ZuCo1-1,3.0,in,4.405764389269902,0.5445541026843961,4.405764389269902,0.5445541026843961
en,ZuCo1-1,4.0,race,7.4037098127731,6.004216874391477,8.163324362647222,5.6859504304911175
en,ZuCo1-1,5.0,"cars,",6.684608038892265,1.890887978952813,11.142854887971652,6.9422365651327125
en,ZuCo1-1,6.0,he,5.5907630870735305,1.6767591469864185,16.383366611685044,10.152278566371088
en,ZuCo1-1,7.0,formed,7.997221981074746,3.0574667540966622,9.236912926469312,5.288120095866531
en,ZuCo1-1,8.0,a,5.975634459009751,2.1077353307087834,6.907428306855341,3.1941407948100227
en,ZuCo1-1,9.0,second,8.507682958590156,0.0,8.507682958590156,0.0
en,ZuCo1-1,10.0,"company,",6.198454726972828,2.80768444536252,9.510374164423997,2.610992624601587
en,ZuCo1-1,11.0,the,7.037069190033857,2.5603946222448744,7.037069190033857,2.5603946222448744
en,ZuCo1-1,12.0,Henry,6.708915704488237,2.457993954889042,11.44283357930376,5.677143202702216
en,ZuCo1-1,13.0,Ford,7.687299244726105,2.6885729268338205,24.252973348380937,15.537229279764276
en,ZuCo1-1,14.0,Company.,6.1133778973869255,3.15929526700372,7.389530341175448,3.627771490399335
en,ZuCo1-2,0.0,During,6.342090932767206,3.4862939134243387,12.617888232090854,6.802362039735332
en,ZuCo1-2,1.0,this,6.0216717044566686,1.885304828627094,21.18081588521731,17.013897923400204
en,ZuCo1-2,2.0,"period,",7.496705048575871,3.41069039936847,15.39669636726673,7.496376911521232
en,ZuCo1-2,3.0,he,6.736695893740777,1.8201788496887403,8.325375466620367,4.172324238437472
en,ZuCo1-2,4.0,personally,6.3531398716744665,1.5975157140724183,18.247322605339797,11.693575472313434
en,ZuCo1-2,5.0,drove,5.847344001697679,2.136832918590946,8.473922311929083,5.020550975151863
en,ZuCo1-2,6.0,his,4.938875691545194,2.0286510787520373,6.552020772005145,3.806383507768747
en,ZuCo1-2,7.0,Quadricycle,7.42734226543585,2.244303580558646,13.916138553693896,10.323158938033409
en,ZuCo1-2,8.0,to,0.0,0.0,0.0,0.0
en,ZuCo1-2,9.0,victory,5.82033548436882,1.4552209438276775,7.636658274734497,2.339810107774098
en,ZuCo1-2,10.0,in,6.806146366872124,3.6461498393957807,12.356396677952368,10.28154872566701
en,ZuCo1-2,11.0,a,6.46431981942877,1.6705402600635977,8.469702231096448,3.889489299546061
en,ZuCo1-2,12.0,race,6.917556500853662,2.176322419768644,13.045113869838238,10.851042840494827
en,ZuCo1-2,13.0,against,4.970917614376248,0.6550679110859141,11.169372341349076,7.926521593693876
en,ZuCo1-2,14.0,Alexander,5.050592740496378,1.52270247580728,6.326745184284902,4.892431423186156
en,ZuCo1-2,15.0,"Winton,",6.4415313829325465,3.054821810674456,10.006655670341754,5.226265871504685
en,ZuCo1-2,16.0,a,6.547877419914923,3.339310257709005,6.547877419914923,3.339310257709005
en,ZuCo1-2,17.0,well-known,5.978166507509332,2.0686873874711726,12.191813525479642,7.071335968065832
en,ZuCo1-2,18.0,driver,5.727493706050873,2.3823656677589904,14.9492143415227,8.110198380200005
en,ZuCo1-2,19.0,and,7.334838093584513,1.7484090995591046,21.05043840611164,11.442984004138443
en,ZuCo1-2,20.0,the,5.3544385604460265,1.6784406913127257,10.816911190207485,5.236912943738674
en,ZuCo1-2,21.0,heavy,6.303419646591797,1.75896886497315,19.584244213118247,11.146068312799878
en,ZuCo1-2,22.0,favorite,6.414522865603689,2.3285596878422523,7.069479410828486,3.79831581824861
en,ZuCo1-2,23.0,on,9.56285662423348,2.7039577678663806,24.114309165094824,8.343224161640764
en,ZuCo1-2,24.0,October,7.049223022831843,2.940248036246917,7.049223022831843,2.940248036246917
en,ZuCo1-2,25.0,"10,",5.330323812830975,1.5073179506769436,5.330323812830975,1.5073179506769436
en,ZuCo1-2,26.0,1901.,6.964146193245941,2.9439717508246,9.242989842868305,6.753884995196846
en,ZuCo1-5,0.0,These,9.467835749631044,5.139680753430922,23.68782012327459,13.64402090827664
en,ZuCo1-5,1.0,experiments,6.927684694851983,3.233924572256289,6.927684694851983,3.233924572256289
en,ZuCo1-5,2.0,culminated,9.060129903953152,6.538799011922038,10.651177106598585,8.09376329967369
en,ZuCo1-5,3.0,in,7.575889110744567,2.392741621324419,7.575889110744567,2.392741621324419
en,ZuCo1-5,4.0,1896,7.316607344387534,1.4158041507625905,7.316607344387534,1.4158041507625905
en,ZuCo1-5,5.0,with,8.228144804236479,7.429462131526631,9.15183609688341,9.486765260083423
en,ZuCo1-5,6.0,the,6.2440315999652745,1.2971659644859594,9.555951037416442,5.666564529076984
en,ZuCo1-5,7.0,completion,5.874352519026536,1.9382727898217968,5.874352519026536,1.9382727898217968
en,ZuCo1-5,8.0,of,7.115516656275402,2.3333229652382315,11.35830919666322,9.879184304286742
en,ZuCo1-5,9.0,his,7.78858118470932,3.629382887256775,10.837167578204127,5.220869354739964
en,ZuCo1-5,10.0,own,7.162080041670284,2.734708836836139,9.271638163034986,6.048069391087049
en,ZuCo1-5,11.0,self-propelled,10.133258095320777,4.388126983063882,10.133258095320777,4.388126983063882
en,ZuCo1-5,12.0,vehicle,8.58060595537807,4.076610036834006,16.140289955725326,12.518565779746076
en,ZuCo1-5,13.0,named,6.411146800937582,2.247865896943257,21.6885146280059,16.623484752440298
en,ZuCo1-5,14.0,the,6.26530080736175,1.468399523688387,16.814827676013543,13.073738647960695
en,ZuCo1-5,15.0,"Quadricycle,",6.2288393089677925,2.4478520991424637,13.650273461237957,11.52555896210674
en,ZuCo1-5,16.0,which,7.725279972219811,4.714935002485642,27.710738779407933,24.9238677001336
en,ZuCo1-5,17.0,he,9.312874381456725,4.190209021991653,13.080562548832363,11.558870535483903
en,ZuCo1-5,18.0,test-drove,9.106693289348032,4.4503374653033205,11.016581300460109,6.550088497641055
en,ZuCo1-5,19.0,on,6.082993315391961,1.9734026441536807,11.126833926556124,7.711192140711246
en,ZuCo1-5,20.0,June,5.985762653008074,1.4699356091236306,11.272679920131957,5.538568415714195
en,ZuCo1-5,21.0,4,5.611019475070173,1.155147055655095,12.984344705848308,13.76677540175224
en,ZuCo1-5,22.0,of,4.45893740776109,1.0353393849364114,9.586335619411408,8.000703641954685
en,ZuCo1-5,23.0,that,7.3395645841170625,2.7473741354777537,15.091009057499203,11.06240833096938
