language,sentence_id,word_id,word,FFDAvg,FFDStd,TRTAvg,TRTStd
en,ZuCo1-25,0.0,In,6.839907013533196,1.9552923797715949,7.8054615080398575,3.722466108757992
en,ZuCo1-25,1.0,1954,7.076845370099993,2.5686549313330933,44.466454632267634,24.92319805388653
en,ZuCo1-25,2.0,"she,",7.130248574818416,2.899778176337566,11.35032940745242,8.32303407063858
en,ZuCo1-25,3.0,along,8.568452122580085,2.905503311578208,8.568452122580085,2.905503311578208
en,ZuCo1-25,4.0,with,7.423966200769743,3.208109246039644,9.257169314465957,3.646892497988874
en,ZuCo1-25,5.0,Bing,8.244349914633792,6.0189855289480505,8.980332011845164,6.067092550435851
en,ZuCo1-25,6.0,"Crosby,",5.793326967039962,2.142202817717186,8.629221286570015,6.629355978392602
en,ZuCo1-25,7.0,Danny,8.112683392655612,5.406304348542463,9.459733194432388,5.688158222024766
en,ZuCo1-25,8.0,"Kaye,",6.826402754868767,3.175733949585118,14.62511213357641,10.789607421631858
en,ZuCo1-25,9.0,and,4.314610643285008,1.1172274865522325,8.143067974650577,6.531483767536128
en,ZuCo1-25,10.0,"Vera-Ellen,",5.005859883670458,1.4236586033670349,13.718638770726626,6.472802375932997
en,ZuCo1-25,11.0,starred,6.337355673235524,1.181338734003352,11.980206615157565,3.566348996616468
en,ZuCo1-25,12.0,in,7.014497786266169,2.2517024430412027,12.674711346471048,5.388715926922541
en,ZuCo1-25,13.0,the,6.319993054952687,1.4008577488765162,22.26913636758241,13.346667271253311
en,ZuCo1-25,14.0,movie,7.0087102468385565,2.3556707427322143,21.53254044043175,31.575336374590595
en,ZuCo1-25,15.0,White,8.14914489104957,2.4201848851475503,16.0734438753364,8.606426518087863
en,ZuCo1-25,16.0,Christmas.,7.59614549874121,0.0,7.59614549874121,0.0
en,ZuCo1-64,0.0,Einstein,5.965506265011431,2.013071237562837,5.965506265011431,2.013071237562837
en,ZuCo1-64,1.0,attended,6.3929160517406025,2.1806733172929467,6.3929160517406025,2.1806733172929467
en,ZuCo1-64,2.0,the,7.353068842781491,3.201131952840771,11.075180137164685,4.46663690098254
en,ZuCo1-64,3.0,Luitpold,10.66498828023266,1.3320789262738155,16.71152009723066,7.219008374645194
en,ZuCo1-64,4.0,Gymnasium,5.286917267123882,1.9400502067838443,11.161269786150417,10.713771934597023
